"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"PN1993.5.I85 O337 2010","0","1"
"DA30 .O93 2010","2","1"
"PN2287.C545 L39 2010","2","0"
"BP182 .H2713 2010","1","0"
"DG62.5 .D97 2010","5","4"
"F466 .B246 2010","0","0"
"B2430.W474 D64 2010","0","0"
"P130.5 .B58 2010","12","0"
"DR738.5.K89 M55 2010","8","2"
"PN5477.T33 W37 2010","2","0"
"BP605.C38 S54 2010","2","0"
"D570.85.T4 W66 2009","0","0"
"E277 .C23 2010","1","2"
"PS3623.I5477 T73 2010","1","0"
"PG5039.18.R2 V5813 2010","3","1"
"PC2582.E5 C37 2009","0","0"
"PS3619.E94 W65 2010","2","0"
"PQ3989.2.D565 H66 2009","0","0"
"HN777 .T68 2009","0","0"
"PQ3989.2.S697 D43 2009","0","0"
"PR9408.E653 R342 2008","0","0"
"BX1920 .C663 2002","0","0"
"PS3563.E482 A8 2010","0","0"
"PC2941 .A65 2010","2","1"
"E807 .T39 2010","0","0"
"PS3558.I376 B43 2010","1","0"
"BS1525.52 .J56 2010","3","3"
"PR4148.L33 J66 2010","2","0"
"DS186 .A7213 2010","0","0"
"PS3613.O779 C35 2010","3","1"
"D804.6 .T65 2010","5","0"
"DS730 .H347 2010","0","0"
"B1297 .C66 2010","1","1"
"F548.68.H9 J365 2010","1","0"
"BS1556 .W46 2010","1","0"
"AS122 .L5 v. 159","0","0"
"GV982.O74 G66 2010","1","0"
"DA333.B6 W55 2009","3","1"
"E99.C85 P3835 2010","18","1"
"D805.P6 L85 2010","3","0"
"PN56.C63 E97 2010","2","2"
"LB1062.6 .M33 2010","0","0"
"PS330 .F33 2010","2","1"
"PN1995 .F56 2010","6","3"
"PN1998.3.S39 R38 2010","4","1"
"B1198 .M56 2010","4","1"
"PN6071.H784 F76 2010","1","0"
"PS3568.A23 G57 2010","3","0"
"PR830.T3 B47 2010","2","0"
"DS54.9 .D64 2010","3","0"
"Z1003.5.C3 R54 2010","0","0"
"E183.7 .B43 2010","2","0"
"E184.S75 I57 2010","4","1"
"PN4784.C615 I36 2010","6","1"
"E207.B2 M34 2010","3","0"
"E907 .S38 2010","1","0"
"PR5809.Z5 A4 2010","2","0"
"E169.Z83 S685 2010","8","0"
"BS432 .M33 2010","0","1"
"BS2825.6.M25 T49 2010","1","0"
"BR115.E3 G68 2010","0","0"
"BJ1249 .T96 2010","2","0"
"PS3613.A7778 M68 2010","7","1"
"DS119.76 .M873 2010","0","0"
"RT37.L89 A3 2010","2","0"
"PL2303 .S78 2010","1","1"
"PR4380 .G37 2010","1","1"
"BM535 .B4655 2010","6","0"
"PR868.C75 C37 2010","2","0"
"F2122 .C53 2010","2","2"
"PS310.J39 R93 2010","0","0"
"PS3619.T7493 P76 2009","0","0"
"PN1584 .D5 2010","0","0"
"E183.8.I55 K56 2010","2","2"
"PS3545.R815 Z895 2010","2","1"
"DS101.C63 B35 2010","3","1"
"PN1991.4.L48 C53 2010","2","1"
"BD331 .S442 2010","3","0"
"E179 .S353 2010","1","0"
"PG3390 .P67 2010","3","0"
"PN5124.T4 T45 2010","0","0"
"PR9199.3.O25 T43 2010","10","0"
"PR3011 .P44 2010","9","1"
"PA6163 .T736 2010","0","0"
"PS2384.B7 G37 2010","4","1"
"PS228.B6 M58 2010","6","1"
"PR6045.O72 Z8777 2010","3","2"
"PR145 .W35 2010","0","0"
"PS3554.I3922 W56 2010","3","0"
"BM755.L418 W57 2010","0","0"
"PS228.A58 D56 2010","3","0"
"DS371.412 .A55 2010","0","1"
"PS3618.I33354 A43 2010","0","1"
"PR6056.R3 A19 2009","1","0"
"PQ1826.A7 E5 2010","3","0"
"HM1206 .R68 2010","2","1"
"PS3607.O8845 Z46 2010","2","0"
"F2537 .C97513 2010","10","1"
"PS3611.U4 B43 2010","5","0"
"BS2655.M3 M88 2009","0","0"
"BS2454.J3 H36 2009","1","1"
"E215.4 .Y67 2010","2","1"
"E176.1 .C879 2010","1","0"
"PR9199.4.T47 C38 2009","0","0"
"PS3553.O628 C45 2010","0","0"
"DU68.C6 C45 2010","3","0"
"BP172 .M493 2010","1","0"
"PS3614.U88 C47 2010","0","0"
"E185.61 .R53 2010","11","5"
"PS3569.O37 A17 2010","0","0"
"CB245 .K43 2010","0","0"
"PJ7538 .A88 2010","0","0"
"PS3613.E133 D47 2009","1","0"
"PS3612.E578 E8 2009","0","0"
"PN770.5 .B87 2010","0","2"
"PR9199.3.W37 E94 2009","0","0"
"PS3622.A78 G67 2010","0","0"
"PS3570.I26 G36 2010","0","0"
"E475.53 .G3937 2010","8","0"
"DG249 .G37 2010","0","1"
"PS3615.L44 H65 2010","0","1"
"PN1995.9.U64 H55 2010","9","0"
"PR6063.C685 I5 2010","0","0"
"JZ1305 .I87 2010","2","1"
"PN1978.I8 M36 2010","1","0"
"PR9639.3.T73 J87 2009","0","0"
"D757.57 35th .S613 2010","0","0"
"PR9199.4.H36 L35 2009","0","0"
"PS3557.A712 L47 2010","1","0"
"PS255.N5 L54 2010","1","0"
"PR9639.3.H245 L87 2009","0","0"
"PS3569.T349 M34 2009","1","0"
"PR9199.3.M33413 M57 2009","0","0"
"PS3619.L43 M67 2010","3","0"
"B105.W3 C57 2010","1","0"
"PN4885.N6 L68 2010","0","0"
"PR9199.4.C4865 O3 2010","0","0"
"PR6068.A915 O94 2009","2","0"
"PQ7539.2.B46 B46 2010","2","1"
"PR6053.H433 P27 2009","0","0"
"D802.L5 M2813 2010","1","1"
"PR6021.A74 Z894 2010","1","0"
"BX9.5.P45 P46 2010","0","0"
"PR9639.3.C59 P63 2009","1","0"
"DS119.767 .L69 2010","2","0"
"PS3561.L5 R36 2010","2","0"
"PR9639.4.T392 R45 2009","0","0"
"BL2525 .R4653 2010","2","4"
"PR9199.3.K795 R53 2009","0","0"
"PR9199.3.B423 S26 2009","0","0"
"PR2771 .D496 2009","4","1"
"PS3613.A4352 S56 2009","0","0"
"PE1408 .A447 2010","1","0"
"E184.A1 T695 2010","5","1"
