CALL #(ITEM),TOT CHKOUT,INTL USE 
B874.A4 L6 2013,0,0
B921.H634 A64 2014,0,0
B935 .P665 2013,2,0
B945 .D573 2013,1,0
B945 .S8551 2014,0,0
B945.A2864 L33 2013,1,1
B945.A694 H362 2014,2,0
B945.B4764 R53 2014,0,0
B945.B4774 I58 2014,1,0
B945.C164 T47 2013,0,0
B945.C244 E97 2013,3,1
B945.C274 D34 2014,1,0
B945.D381 W44 2014,1,0
B945.D44 D493 2014,0,0
B945.G624 B37 2014,0,0
B945.G624 C37 2014,0,0
B945.J21 B35 2013,3,0
B945.J24 H22 2013,1,0
B945.P43 I45 2014,2,1
B945.P44 D385 2013,5,0
B945.R234 C66 2013,1,0
B945.R234 S35 2013,1,0
B945.R284 C66 2014,3,0
B945.R521 L43 2014,1,0
B945.R524 M85 2014,0,0
B945.R524 R5545 2013,3,0
B945.R64 A99 2013,0,0
B945.S84 L36 2013,0,0
B948.B633 F73 2012,0,0
B99.C52 F82498 2012,1,0
B995.F334 M67 2013,0,0
BC15 .P673 2010,0,0
BC15 .S54 2013,6,0
BC177 .B76 2013,4,0
BC177 .H378 2013,1,1
BC177 .M227 2014,1,0
BC177 .R328 2003,1,0
BC177 .W3247 2013,4,0
BC183 .B632 2012,0,0
BC199.I4 K57 2013,0,0
BC199.P7 B46 2013,1,0
BC25 .S4644 2013,0,0
BC34 .N37 2010,0,0
BC38 .O45 2013,0,0
BC5 .S83 2012,0,0
BC71 .G337 2013,5,0
BC71 .L69 2013,4,0
BD111 .B67 2013,0,0
BD111 .B68 2013,0,0
BD111 .C43 2014,1,0
BD111 .D429 2014,1,0
BD111 .F52 2013,0,0
BD111 .G38 2013,2,0
BD111 .S35 2013,1,0
BD111 .S747 2012,0,0
BD111 .T35 2013,2,0
BD111 .V47 2014,1,0
BD111 .W38 2014,0,0
BD112 .S21313 2013,0,0
BD131 .R43 2014,2,0
BD143 .A38 2014,2,0
BD143 .S96 2012,1,0
BD143 .T87 2014,1,0
BD161 .A355 2014,0,0
BD161 .C6545 2014,1,0
BD161 .G465 2013,0,0
BD161 .L34 2013,1,0
BD161 .M397 2014,0,0
BD161 .O83 2014,0,0
BD171 .A45 2013,0,0
BD171 .A83 2013,0,0
BD171 .C357 2013,0,0
BD171 .E76 2013,0,0
BD171 .E78 2012,0,1
BD171 .H87 2014,1,0
BD171 .P3713 2013,0,0
BD171 .V429 2012,0,0
BD175 .G69 2012,0,0
BD181 .I5 2013,0,0
BD181.3 .S76 2014,0,0
BD181.7 .S33 2013,0,0
BD183 .K37 2014,0,0
BD201 .H39 2014,1,0
BD21 .D35 2014,0,0
BD21 .D57 2013,0,0
BD21 .W455 2014,0,0
BD212 .G47 2013,0,0
BD214 .S96 2013,8,0
BD215 .G53 2013,1,0
BD215 .K48 2012,0,0
BD215 .N49 2013,1,0
BD215 .S65 2014,0,0
BD216 .M37 2014,4,1
BD22 .L9613 2013,3,0
BD221 .R68 2013,0,0
BD221 .S45 2014,1,0
BD222 .S8147 2013,1,0
BD236 .K68 2013,0,0
BD236 .V64 2014,0,0
BD241 .P435 2014,1,0
BD241 .P446 2013,0,0
BD241 .S88 2014,0,0
BD255 .F76 2014,5,1
BD255 .I566 2013,1,0
BD311 .C67 2013,0,0
BD311 .H44 2014,0,0
BD311 .P89 2013,4,0
BD312 .B3413 2014,2,0
BD331 .B45 2014,2,0
BD331 .F87 2013,1,0
BD331 .K43 2013,0,0
BD331 .N488 2014,0,0
BD331 .R34 2014,3,0
BD336 .K75 2014,0,0
