"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"BF311 .C55225 2008","2","0"
"DS135.A93 K365 2006","0","0"
"PS662 .G74 2006","13","1"
"PQ6663.A7492 E5 2007","0","0"
"DU740.7 .Q36 2007","2","0"
"HV6431 .G563 2008","2","0"
"HV6431 .G563 2008","2","1"
"HV6431 .G563 2008","0","0"
"HV6431 .G563 2008","2","0"
"PQ6657.O44 H57 2008","1","0"
"P301.5.P67 P655 2007","2","1"
"DA948.6.T6 A2 1998","1","0"
"GF503 .B527 2008","1","2"
"GF503 .B527 2008","0","0"
"DS79.744.M44 G83 2000","0","0"
"HD59.2 .A95 2008","1","0"
"PR6058.A68756 G67 2007","0","0"
"PQ8498.419.N63 C58 2007","1","0"
"HB615 .K415 2005","1","1"
"HC427.95 .P637 2008","2","1"
"PQ8550.436.A46 C35 2007","0","0"
"LB575.W842 L34 2008","2","1"
"LB775.P49 K64 2008","1","0"
"PQ6601.R364 C84 2007","0","0"
"LB517 .O38 2008","2","0"
"LB775.S72 U5713 2008","5","0"
"PQ7409.B65 A6 2007","1","0"
"HQ792.G7 R43 2007","1","0"
"PQ7798.416.A43 C36 2007","1","0"
"R725 .A23 2007","0","0"
"H61.8 .R47 2008","3","0"
"LB2831.92 .K55 2003","1","0"
"PQ7519.3.A78 C8 2006","0","0"
"LB1731 .D54 2008","1","1"
"PQ8520.13.O8 C587 2001","0","0"
"BF1272 .M454 2008","3","2"
"HQ796 .C66 2008","4","0"
"JQ220.S8 S55 2008","1","1"
"HC240.25.B28 K38 2008","7","0"
"HM538 .G55 2008","11","0"
"LB1573 .V32 2009","5","2"
"PQ7519.3.L35 C7 2007","1","0"
"HF5827.85 .R67 2007","4","0"
"BF408 .W445 2008","2","1"
"PQ8498.23.E7 H47 2006","0","0"
"PQ2607.E834 Z628 2007","2","0"
"HC415.T4 S63 2008","1","1"
"PQ7798.422.A87 H5 2007","0","0"
"BL2400 .H48 2005","0","0"
"JZ1747.A55 S68 2008","1","2"
"PN1992.75 .Z4 2009","3","1"
"PQ7298.23.E656 H6 2007","0","0"
"E99.D1 S625 2008","5","1"
"PQ7298.423.O25 H55 2007","0","0"
"JQ3366 .D45 2005","1","1"
"PQ7798.15.S8 F8 2007","0","0"
"HQ1236.5.T5 W66 2008","0","1"
"BT1103 .W49 2006","9","1"
"PQ8098.418.U34 F86 2006","1","0"
"PQ7539.3.S23 G56 2006","0","0"
"PQ6668.I536 C66 2007","0","0"
"PQ6657.A6987 C24 2007","0","0"
"DC235 .V64 2007","1","0"
"PQ8098.26.R25 J63 2005","1","0"
"PQ7298.1.R85 E53 2006","1","0"
"PQ7298.28.U85 A75 2007","0","0"
"PQ6666.A3 E34 2007","0","0"
"HV1421 .M45 2008","4","0"
